,Month,Month_count,Month_money,Avg
0,12,38,6429.0,169.18421052631578
1,2,22,1434.0,65.18181818181819
2,4,16,1396.0,87.25
3,6,41,7532.0,183.70731707317074
4,5,57,8267.0,145.03508771929825
5,7,38,4705.0,123.8157894736842
6,3,15,1917.0,127.8
7,11,34,4685.0,137.7941176470588
8,1,13,350.0,26.923076923076923
9,8,12,952.0,79.33333333333333
10,9,11,327.0,29.727272727272727
11,10,3,274.0,91.33333333333333
