,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,BoxOfficeDetail,BoxOfficeRankCN,BoxOfficeRankNA,BoxOfficeRankG,MtimeRating,NumberofReviewers,BoxOfficeGlobal
77,X战警：天启,X-Men: Apocalypse,http://movie.mtime.com/208116,2016年06月03日,8.03亿CNY,首日1.12亿|首周3.78亿,78,,,7.6,8482,
78,无名之辈,A Cool Fish,http://movie.mtime.com/250056,2018年11月16日,7.93亿CNY,首日917.6万|首周6679.3万,79,,,7.7,3245,
79,北京遇上西雅图之不二情书,Book Of Love,http://movie.mtime.com/220890,2016年04月29日,7.87亿CNY,首日1.10亿|首周3.56亿,80,,,6.9,5868,
80,蜘蛛侠：英雄归来,Spider-Man: Homecoming,http://movie.mtime.com/208175,2017年09月08日,7.75亿CNY,首日1.35亿|首周4.53亿,81,54,55,7.4,5351,8.80亿USD
81,叶问3,Ip Man 3,http://movie.mtime.com/164011,2016年03月04日,7.70亿CNY,首日1.41亿|首周4.36亿,82,,,6.4,5479,
82,钢铁侠3,Iron Man 3,http://movie.mtime.com/91881,2013年05月01日,7.69亿CNY,,83,26,17,7.6,19717,12.15亿USD
83,霍比特人：五军之战,The Hobbit: The Battle of the Five Armies,http://movie.mtime.com/178510,2015年01月23日,7.66亿CNY,首日9014.2万|首周3.08亿,84,,45,8.1,12806,9.56亿USD
84,大闹天竺,Buddies In India,http://movie.mtime.com/225095,2017年01月28日,7.58亿CNY,首日1.89亿|首周3.07亿,85,,,5.9,2290,
85,无问西东,Forever Young,http://movie.mtime.com/154373,2018年01月12日,7.54亿CNY,首日3552.2万|首周1.38亿,86,,,7.0,4175,
86,奇异博士,Doctor Strange,http://movie.mtime.com/108737,2016年11月04日,7.52亿CNY,首日8160.2万|首周2.97亿,87,,,7.6,7505,
87,神秘巨星,Secret Superstar,http://movie.mtime.com/249736,2018年01月19日,7.47亿CNY,首日4366.6万|首周1.75亿|连冠2周,88,,,7.7,3116,
88,天将雄师,Dragon Blade,http://movie.mtime.com/210728,2015年02月19日,7.44亿CNY,首日1.21亿|首周3.47亿,89,,,6.4,17532,
89,雷神3：诸神黄昏,Thor: Ragnarok,http://movie.mtime.com/209123,2017年11月03日,7.43亿CNY,首日1.06亿|首周3.55亿,90,69,65,7.8,5299,8.54亿USD
90,猩球崛起3：终极之战,War for the Planet of the Apes,http://movie.mtime.com/218546,2017年09月15日,7.40亿CNY,首日1.24亿|首周3.94亿,91,,,7.6,5131,
91,金刚狼3：殊死一战,Logan,http://movie.mtime.com/209688,2017年03月03日,7.32亿CNY,首日1.04亿|首周3.37亿,92,,,8.0,6270,
92,西游记女儿国,The Monkey King 3,http://movie.mtime.com/209205,2018年02月16日,7.27亿CNY,首日1.64亿|首周3.25亿,93,,,5.4,2160,
93,终结者：创世纪,Terminator Genisys,http://movie.mtime.com/106560,2015年08月23日,7.25亿CNY,首日1.54亿|首周1.54亿,94,,,7.4,8113,
94,美国队长2,Captain America: The Winter Soldier,http://movie.mtime.com/151951,2014年04月04日,7.21亿CNY,首日5952.4万,95,,,8.1,17203,
95,X战警：逆转未来,X-Men: Days of Future Past,http://movie.mtime.com/154557,2014年05月23日,7.21亿CNY,首日6604.6万,96,,92,8.2,18007,7.48亿USD
96,致我们终将逝去的青春,So Young,http://movie.mtime.com/157125,2013年04月26日,7.19亿CNY,,97,,,6.9,22769,
97,私人订制,Personal Tailor,http://movie.mtime.com/164689,2013年12月19日,7.15亿CNY,,98,,,6.0,19106,
98,星际穿越,Interstellar,http://movie.mtime.com/51119,2014年11月12日,7.11亿CNY,首日3342.1万,99,,,8.8,28878,
99,熊出没·原始时代,Boonie Bears: Blast into the Past,http://movie.mtime.com/262215,2019年02月05日,7.09亿CNY,首日7317.1万|首周4.21亿,100,,,6.8,336,
100,阿凡达,Avatar,http://movie.mtime.com/45997,2009年12月17日英国,27.88亿USD,,33,2,1,8.8,68014,27.88亿USD
101,泰坦尼克号,Titanic,http://movie.mtime.com/11925,1997年12月19日美国,21.88亿USD,,65,5,2,8.9,61605,21.88亿USD
102,星球大战：原力觉醒,Star Wars: The Force Awakens,http://movie.mtime.com/192895,2015年12月18日美国,20.68亿USD,,75,1,3,7.6,9113,20.68亿USD
103,复仇者联盟3：无限战争,Avengers: Infinity War,http://movie.mtime.com/217497,2018年04月27日美国,20.47亿USD,,11,4,4,8.1,7912,20.47亿USD
104,侏罗纪世界,Jurassic World,http://movie.mtime.com/191813,2015年06月12日美国,16.72亿USD,,31,6,5,7.6,12020,16.72亿USD
105,复仇者联盟,The Avengers,http://movie.mtime.com/83336,2012年05月04日美国,15.19亿USD,,,7,6,8.2,26125,15.19亿USD
106,速度与激情7,Fast & Furious 7,http://movie.mtime.com/196613,2015年04月17日日本,15.16亿USD,,10,46,7,8.3,21633,15.16亿USD
107,复仇者联盟2：奥创纪元,Avengers: Age of Ultron,http://movie.mtime.com/173060,2015年05月01日美国,14.05亿USD,,28,16,8,7.6,15208,14.05亿USD
108,黑豹,Black Panther,http://movie.mtime.com/218085,2018年02月16日美国,13.47亿USD,,,3,9,7.0,4540,13.47亿USD
109,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,http://movie.mtime.com/78592,2011年07月15日美国,13.42亿USD,,,35,10,8.5,20945,13.42亿USD
110,星球大战：最后的绝地武士,Star Wars: The Last Jedi,http://movie.mtime.com/211981,2017年12月15日美国,13.33亿USD,,,8,11,7.4,3032,13.33亿USD
111,侏罗纪世界2,Jurassic World: Fallen Kingdom,http://movie.mtime.com/225759,2018年06月22日美国,13.05亿USD,,21,23,12,7.2,3673,13.05亿USD
112,冰雪奇缘,Frozen,http://movie.mtime.com/174956,2013年11月27日美国,12.77亿USD,,,33,13,8.4,18105,12.77亿USD
113,美女与野兽,Beauty and the Beast,http://movie.mtime.com/195064,2017年03月17日美国,12.64亿USD,,,12,14,7.3,3341,12.64亿USD
114,速度与激情8,The Fate of the Furious,http://movie.mtime.com/224149,2017年04月14日中国,12.36亿USD,,7,,15,7.3,5589,12.36亿USD
115,超人总动员2,The Incredibles 2,http://movie.mtime.com/223686,2018年06月15日美国,12.28亿USD,,,9,16,8.0,1441,12.28亿USD
116,钢铁侠3,Iron Man 3,http://movie.mtime.com/91881,2013年05月01日中国,12.15亿USD,,83,26,17,7.6,19686,12.15亿USD
117,小黄人大眼萌,Minions,http://movie.mtime.com/193881,2015年07月10日美国,11.59亿USD,,,53,18,7.4,5798,11.59亿USD
118,美国队长3,Captain America: Civil War,http://movie.mtime.com/209122,2016年05月06日美国,11.53亿USD,,39,27,19,7.8,11962,11.53亿USD
119,变形金刚3,Transformers: Dark of the Moon,http://movie.mtime.com/105799,2011年06月29日美国,11.24亿USD,,54,47,20,8.0,33897,11.24亿USD
120,魔戒三部曲：国王归来,The Lord of the Rings: The Return of the King,http://movie.mtime.com/11405,2003年12月17日美国,11.20亿USD,,,38,21,8.4,114103,11.20亿USD
121,007：大破天幕杀机,Skyfall,http://movie.mtime.com/92774,2012年10月26日英国,11.09亿USD,,,76,22,7.7,13507,11.09亿USD
122,变形金刚4：绝迹重生,Transformers: Age of Extinction,http://movie.mtime.com/157905,2014年06月27日美国,11.04亿USD,,16,,23,7.0,32485,11.04亿USD
123,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,http://movie.mtime.com/125424,2012年07月20日英国,10.85亿USD,,,17,24,8.8,28822,10.85亿USD
124,玩具总动员3,Toy Story 3,http://movie.mtime.com/46125,2010年06月18日美国,10.67亿USD,,,24,25,8.6,17731,10.67亿USD
125,加勒比海盗：聚魂棺,Pirates of the Caribbean: Dead Man's Chest,http://movie.mtime.com/17054,2006年07月07日美国,10.66亿USD,,,21,26,8.2,17377,10.66亿USD
126,星球大战外传：侠盗一号,Rogue One: A Star Wars Story,http://movie.mtime.com/214815,2016年12月16日美国,10.56亿USD,,,11,27,7.5,4617,10.56亿USD
127,加勒比海盗：惊涛怪浪,Pirates of the Caribbean: On Stranger Tides,http://movie.mtime.com/89338,2011年05月20日美国,10.46亿USD,,,,28,8.0,28205,10.46亿USD
128,神偷奶爸3,Despicable Me 3,http://movie.mtime.com/208828,2017年06月30日美国,10.35亿USD,,58,,29,7.2,3313,10.35亿USD
129,侏罗纪公园,Jurassic Park,http://movie.mtime.com/13057,1993年06月11日美国,10.29亿USD,,,31,30,8.1,11467,10.29亿USD
130,海底总动员2：多莉去哪儿,Finding Dory,http://movie.mtime.com/196387,2016年06月17日美国,10.29亿USD,,,13,31,7.8,2851,10.29亿USD
131,星球大战前传一：幽灵的威胁,Star Wars: Episode I - The Phantom Menace,http://movie.mtime.com/12307,1999年05月19日美国,10.27亿USD,,,14,32,7.8,4674,10.27亿USD
132,爱丽丝梦游仙境,Alice in Wonderland,http://movie.mtime.com/83327,2010年03月05日美国,10.26亿USD,,,55,33,7.7,35025,10.26亿USD
133,疯狂动物城,Zootopia,http://movie.mtime.com/205222,2016年03月04日美国,10.24亿USD,,26,50,34,8.6,14779,10.24亿USD
134,霍比特人：意外之旅,The Hobbit: An Unexpected Journey,http://movie.mtime.com/51229,2012年12月14日美国,10.21亿USD,,,77,35,8.2,15166,10.21亿USD
135,蝙蝠侠：黑暗骑士,The Dark Knight,http://movie.mtime.com/51378,2008年07月18日美国,10.05亿USD,,,10,36,8.7,31768,10.05亿USD
136,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,http://movie.mtime.com/10734,2001年11月16日英国,9.75亿USD,,,66,37,8.2,11976,9.75亿USD
137,神偷奶爸2,Despicable Me 2,http://movie.mtime.com/137602,2013年07月03日美国,9.71亿USD,,,42,38,7.9,11585,9.71亿USD
138,狮子王,The Lion King,http://movie.mtime.com/11809,1994年06月24日美国,9.69亿USD,,,22,39,8.7,12316,9.69亿USD
139,奇幻森林,The Jungle Book,http://movie.mtime.com/207872,2016年04月15日英国,9.67亿USD,,62,43,40,7.7,6161,9.67亿USD
140,加勒比海盗：世界的尽头,Pirates of the Caribbean: At World's End,http://movie.mtime.com/38260,2007年05月19日美国,9.63亿USD,,,72,41,8.1,20567,9.63亿USD
141,勇敢者游戏：决战丛林,Jumanji: Welcome to the Jungle,http://movie.mtime.com/227232,2017年12月20日美国,9.62亿USD,,,29,42,7.1,3672,9.62亿USD
142,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,http://movie.mtime.com/56856,2010年11月19日英国,9.60亿USD,,,81,43,8.0,24999,9.60亿USD
143,霍比特人：史矛革之战,The Hobbit: The Desolation of Smaug,http://movie.mtime.com/78593,2013年12月13日美国,9.58亿USD,,,,44,8.3,14773,9.58亿USD
144,霍比特人：五军之战,The Hobbit: The Battle of the Five Armies,http://movie.mtime.com/178510,2014年12月11日新西兰,9.56亿USD,,84,,45,8.1,12778,9.56亿USD
145,海底总动员,Finding Nemo,http://movie.mtime.com/10745,2003年05月30日美国,9.40亿USD,,,36,46,8.1,12655,9.40亿USD
146,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,http://movie.mtime.com/49495,2007年07月12日英国,9.40亿USD,,,86,47,7.6,14645,9.40亿USD
147,哈利·波特与混血王子,Harry Potter and the Half-Blood Prince,http://movie.mtime.com/54310,2009年07月15日英国,9.34亿USD,,,78,48,7.2,27748,9.34亿USD
148,魔戒二部曲：双塔奇兵,The Lord of the Rings: The Two Towers,http://movie.mtime.com/11403,2002年12月18日美国,9.26亿USD,,,49,49,8.6,19729,9.26亿USD
149,怪物史瑞克2,Shrek 2,http://movie.mtime.com/10681,2004年05月19日美国,9.20亿USD,,,18,50,7.5,6009,9.20亿USD
150,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,http://movie.mtime.com/20287,2005年11月18日英国,8.97亿USD,,,90,51,7.7,13047,8.97亿USD
151,蜘蛛侠3,Spider-Man 3,http://movie.mtime.com/22321,2007年05月04日美国,8.91亿USD,,,52,52,7.4,14610,8.91亿USD
152,冰川时代3,Ice Age: Dawn of the Dinosaurs,http://movie.mtime.com/78012,2009年07月01日美国,8.87亿USD,,,,53,8.1,23746,8.87亿USD
153,007：幽灵党,Spectre,http://movie.mtime.com/194879,2015年10月26日英国,8.81亿USD,,,,54,6.9,7118,8.81亿USD
154,蜘蛛侠：英雄归来,Spider-Man: Homecoming,http://movie.mtime.com/208175,2017年07月07日美国,8.80亿USD,,81,54,55,7.4,5243,8.80亿USD
155,哈利·波特与密室,Harry Potter and the Chamber of Secrets,http://movie.mtime.com/10733,2002年11月15日英国,8.79亿USD,,,,56,7.8,10455,8.79亿USD
156,冰川时代4,Ice Age: Continental Drift,http://movie.mtime.com/133743,2012年07月13日美国,8.77亿USD,,,,57,8.2,11578,8.77亿USD
157,爱宠大机密,The Secret Life of Pets,http://movie.mtime.com/223848,2016年08月11日日本,8.76亿USD,,,41,58,7.6,5110,8.76亿USD
158,蝙蝠侠大战超人：正义黎明,Batman v Superman: Dawn of Justice,http://movie.mtime.com/203183,2016年03月25日美国,8.74亿USD,,,58,59,7.4,15860,8.74亿USD
159,魔戒首部曲：魔戒现身,The Lord of the Rings: The Fellowship of the Ring,http://movie.mtime.com/11404,2001年12月20日新西兰,8.72亿USD,,,68,60,8.7,23106,8.72亿USD
160,战狼2,Wolf Warriors Ⅱ,http://movie.mtime.com/229733,2017年07月27日中国,8.70亿USD,,1,,61,7.4,16897,8.70亿USD
161,饥饿游戏2：星火燎原,The Hunger Games: Catching Fire,http://movie.mtime.com/152776,2013年11月22日美国,8.65亿USD,,,20,62,7.6,10578,8.65亿USD
162,银河护卫队2,Guardians of the Galaxy Vol. 2,http://movie.mtime.com/216008,2017年05月05日美国,8.64亿USD,,,34,63,7.8,6278,8.64亿USD
163,头脑特工队,Inside Out,http://movie.mtime.com/164798,2015年06月19日美国,8.58亿USD,,,45,64,8.4,6687,8.58亿USD
164,雷神3：诸神黄昏,Thor: Ragnarok,http://movie.mtime.com/209123,2017年11月03日美国,8.54亿USD,,90,69,65,7.8,5172,8.54亿USD
165,星球大战前传三：西斯的复仇,Star Wars: Episode III - Revenge of the Sith,http://movie.mtime.com/15607,2005年05月19日美国,8.49亿USD,,,37,66,8.1,5419,8.49亿USD
166,变形金刚2,Transformers: Revenge of the Fallen,http://movie.mtime.com/69283,2009年06月24日美国,8.36亿USD,,,32,67,8.0,51711,8.36亿USD
167,暮光之城4：破晓（下）,The Twilight Saga: Breaking Dawn - Part 2,http://movie.mtime.com/134852,2012年11月16日美国,8.30亿USD,,,85,68,6.8,4693,8.30亿USD
168,盗梦空间,Inception,http://movie.mtime.com/99547,2010年07月16日美国,8.28亿USD,,,84,69,9.1,70140,8.28亿USD
169,神奇女侠,Wonder Woman,http://movie.mtime.com/40205,2017年05月30日中国香港,8.22亿USD,,,25,70,7.5,7106,8.22亿USD
170,蜘蛛侠,Spider-Man,http://movie.mtime.com/12633,2002年05月03日美国,8.22亿USD,,,30,71,7.6,11177,8.22亿USD
171,独立日,Independence Day,http://movie.mtime.com/13543,1996年07月03日美国,8.17亿USD,,,74,72,8.0,7858,8.17亿USD
172,神奇动物在哪里,Fantastic Beasts and Where to Find Them,http://movie.mtime.com/207372,2016年11月18日英国,8.14亿USD,,,,73,7.4,5737,8.14亿USD
173,寻梦环游记,Coco,http://movie.mtime.com/227434,2017年11月21日美国,8.07亿USD,,42,,74,9.0,7731,8.07亿USD
174,怪物史瑞克3,Shrek the Third,http://movie.mtime.com/38984,2007年05月18日美国,7.99亿USD,,,63,75,7.4,5935,7.99亿USD
175,哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,http://movie.mtime.com/13773,2004年05月31日英国,7.97亿USD,,,,76,7.8,11783,7.97亿USD
176,加勒比海盗5：死无对证,Pirates of the Caribbean: Dead Men Tell No Tales,http://movie.mtime.com/151657,2017年05月26日美国,7.95亿USD,,45,,77,7.5,5674,7.95亿USD
177,外星人E.T.,E.T. the Extra-Terrestrial,http://movie.mtime.com/12047,1982年06月11日美国,7.93亿USD,,,19,78,8.4,5468,7.93亿USD
178,碟中谍6：全面瓦解,Mission: Impossible - Fallout,http://movie.mtime.com/226992,2018年07月27日美国,7.91亿USD,,41,,79,7.9,3945,7.91亿USD
179,速度与激情6,Fast & Furious 6,http://movie.mtime.com/150483,2013年05月24日美国,7.89亿USD,,,,80,7.8,17788,7.89亿USD
180,夺宝奇兵4,Indiana Jones and the Kingdom of the Crystal Skull,http://movie.mtime.com/26151,2008年05月22日美国,7.87亿USD,,,67,81,7.3,6846,7.87亿USD
181,蜘蛛侠2,Spider-Man 2,http://movie.mtime.com/12634,2004年06月30日美国,7.84亿USD,,,39,82,7.4,10445,7.84亿USD
182,死侍,Deadpool,http://movie.mtime.com/106309,2016年02月12日美国,7.83亿USD,,,44,83,7.6,4564,7.83亿USD
183,星球大战,Star Wars,http://movie.mtime.com/12303,1977年05月25日美国,7.75亿USD,,,15,84,8.2,3989,7.75亿USD
184,银河护卫队,Guardians of the Galaxy,http://movie.mtime.com/175195,2014年08月01日美国,7.73亿USD,,,57,85,7.7,13855,7.73亿USD
185,2012,,http://movie.mtime.com/80706,2009年11月13日美国,7.70亿USD,,,,86,8.0,44384,7.70亿USD
186,沉睡魔咒,Maleficent,http://movie.mtime.com/126764,2014年05月30日美国,7.59亿USD,,,,87,7.1,10170,7.59亿USD
187,达芬奇密码,Da Vinci Code,http://movie.mtime.com/22137,2006年05月19日美国,7.58亿USD,,,,88,7.4,13392,7.58亿USD
188,超凡蜘蛛侠,The Amazing Spider-Man,http://movie.mtime.com/56928,2012年07月03日美国,7.58亿USD,,,,89,7.4,14464,7.58亿USD
189,饥饿游戏3：嘲笑鸟（上）,The Hunger Games: Mockingjay - Part 1,http://movie.mtime.com/174764,2014年11月21日美国,7.55亿USD,,,51,90,6.7,6823,7.55亿USD
190,怪物史瑞克4,Shrek Forever After,http://movie.mtime.com/51228,2010年05月21日美国,7.53亿USD,,,,91,7.7,5504,7.53亿USD
191,X战警：逆转未来,X-Men: Days of Future Past,http://movie.mtime.com/154557,2014年05月23日美国,7.48亿USD,,96,,92,8.2,17975,7.48亿USD
192,马达加斯加3,Madagascar 3: Europe's Most Wanted,http://movie.mtime.com/91382,2012年06月08日美国,7.47亿USD,,,,93,8.2,8312,7.47亿USD
193,自杀小队,Suicide Squad,http://movie.mtime.com/217684,2016年08月05日美国,7.47亿USD,,,61,94,6.6,3051,7.47亿USD
194,纳尼亚传奇,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://movie.mtime.com/22034,2005年12月09日美国,7.45亿USD,,,87,95,7.4,12142,7.45亿USD
195,怪兽大学,Monsters University,http://movie.mtime.com/134940,2013年06月21日美国,7.44亿USD,,,,96,7.9,10487,7.44亿USD
196,黑客帝国2：重装上阵,The Matrix Reloaded,http://movie.mtime.com/10750,2003年05月15日美国,7.42亿USD,,,94,97,8.1,11857,7.42亿USD
197,飞屋环游记,Up,http://movie.mtime.com/79055,2009年05月29日美国,7.35亿USD,,,83,98,8.6,35839,7.35亿USD
198,死侍2,Deadpool 2,http://movie.mtime.com/231981,2018年05月18日美国,7.34亿USD,,,,99,7.5,1358,7.34亿USD
199,地心引力,Gravity,http://movie.mtime.com/126366,2013年11月07日英国,7.23亿USD,,,98,100,8.3,19095,7.23亿USD
200,星球大战：原力觉醒,Star Wars: The Force Awakens,http://movie.mtime.com/192895,2015年12月18日美国,9.37亿USD,首日1.19亿|首周3.91亿,75,1,3,7.6,9137,20.68亿USD
201,阿凡达,Avatar,http://movie.mtime.com/45997,2009年12月18日美国,7.61亿USD,首日2675.2万|首周1.37亿,33,2,1,8.8,68050,27.88亿USD
202,黑豹,Black Panther,http://movie.mtime.com/218085,2018年02月16日美国,7.00亿USD,首日7580.8万|首周2.92亿,,3,9,7.0,4755,13.47亿USD
203,复仇者联盟3：无限战争,Avengers: Infinity War,http://movie.mtime.com/217497,2018年04月27日美国,6.79亿USD,首日1.06亿|首周3.38亿,11,4,4,8.1,8205,20.47亿USD
204,泰坦尼克号,Titanic,http://movie.mtime.com/11925,1997年12月19日美国,6.59亿USD,,65,5,2,8.9,61656,21.88亿USD
205,侏罗纪世界,Jurassic World,http://movie.mtime.com/191813,2015年06月12日美国,6.52亿USD,首日8195.4万|首周2.96亿,31,6,5,7.6,12059,16.72亿USD
206,复仇者联盟,The Avengers,http://movie.mtime.com/83336,2012年05月04日美国,6.23亿USD,首日8081.4万|首周2.70亿,,7,6,8.2,26160,15.19亿USD
207,星球大战：最后的绝地武士,Star Wars: The Last Jedi,http://movie.mtime.com/211981,2017年12月15日美国,6.20亿USD,首日1.05亿|首周2.97亿,,8,11,7.4,3088,13.33亿USD
208,超人总动员2,The Incredibles 2,http://movie.mtime.com/223686,2018年06月15日美国,6.09亿USD,首日7154.6万|首周2.69亿,,9,16,7.9,1987,12.28亿USD
209,蝙蝠侠：黑暗骑士,The Dark Knight,http://movie.mtime.com/51378,2008年07月18日美国,5.35亿USD,首日6716.5万|首周2.39亿,,10,36,8.7,31833,10.05亿USD
210,星球大战外传：侠盗一号,Rogue One: A Star Wars Story,http://movie.mtime.com/214815,2016年12月16日美国,5.32亿USD,首日7107.2万|首周2.22亿,,11,27,7.5,4641,10.56亿USD
211,美女与野兽,Beauty and the Beast,http://movie.mtime.com/195064,2017年03月17日美国,5.04亿USD,首日6378.7万|首周2.29亿,,12,14,7.3,3387,12.64亿USD
212,海底总动员2：多莉去哪儿,Finding Dory,http://movie.mtime.com/196387,2016年06月17日美国,4.86亿USD,首日5495.4万|首周2.13亿,,13,31,7.8,2866,10.29亿USD
213,星球大战前传一：幽灵的威胁,Star Wars: Episode I - The Phantom Menace,http://movie.mtime.com/12307,1999年05月19日美国,4.75亿USD,首日2854.2万|首周9935.5万,,14,32,7.8,4683,10.27亿USD
214,星球大战,Star Wars,http://movie.mtime.com/12303,1977年05月25日美国,4.61亿USD,,,15,84,8.2,4002,7.75亿USD
215,复仇者联盟2：奥创纪元,Avengers: Age of Ultron,http://movie.mtime.com/173060,2015年05月01日美国,4.59亿USD,首日8442.5万|首周2.36亿,28,16,8,7.6,15263,14.05亿USD
216,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,http://movie.mtime.com/125424,2012年07月20日美国,4.48亿USD,首日7575.5万|首周2.25亿,,17,24,8.8,28872,10.85亿USD
217,怪物史瑞克2,Shrek 2,http://movie.mtime.com/10681,2004年05月19日美国,4.41亿USD,,,18,50,7.5,6009,9.20亿USD
218,外星人E.T.,E.T. the Extra-Terrestrial,http://movie.mtime.com/12047,1982年06月11日美国,4.35亿USD,,,19,78,8.4,5483,7.93亿USD
219,饥饿游戏2：星火燎原,The Hunger Games: Catching Fire,http://movie.mtime.com/152776,2013年11月22日美国,4.25亿USD,首日7095.0万|首周2.22亿,,20,62,7.6,10595,8.65亿USD
220,加勒比海盗：聚魂棺,Pirates of the Caribbean: Dead Man's Chest,http://movie.mtime.com/17054,2006年07月07日美国,4.23亿USD,首日5583.1万|首周1.96亿,,21,26,8.2,17395,10.66亿USD
221,狮子王,The Lion King,http://movie.mtime.com/11809,1994年06月24日美国,4.23亿USD,,,22,39,8.7,12338,9.69亿USD
