,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,BoxOfficeDetail,BoxOfficeRankCN,BoxOfficeRankNA,BoxOfficeRankG,MtimeRating,NumberofReviewers,BoxOfficeGlobal
256,银河护卫队,Guardians of the Galaxy,http://movie.mtime.com/175195,2014年08月01日美国,3.33亿USD,首日3784.5万|首周1.34亿,,57,85,7.7,13895,7.73亿USD
257,蝙蝠侠大战超人：正义黎明,Batman v Superman: Dawn of Justice,http://movie.mtime.com/203183,2016年03月25日美国,3.30亿USD,首日8155.9万|首周2.09亿,,58,59,7.4,15901,8.74亿USD
258,阿甘正传,Forrest Gump,http://movie.mtime.com/10054,1994年06月23日美国,3.30亿USD,,,59,,9.1,52271,
259,小丑回魂,It,http://movie.mtime.com/103523,2017年09月08日美国,3.27亿USD,首日5100.0万|首周1.59亿,,60,,7.2,1257,
260,自杀小队,Suicide Squad,http://movie.mtime.com/217684,2016年08月05日美国,3.25亿USD,首日6512.5万|首周1.79亿,,61,94,6.6,3095,7.47亿USD
261,死侍2：我爱我家,Deadpool 2,http://movie.mtime.com/231981,2018年05月18日美国,3.25亿USD,首日5330.0万|首周1.65亿,,62,,7.4,2325,
262,怪物史瑞克3,Shrek the Third,http://movie.mtime.com/38984,2007年05月18日美国,3.23亿USD,首日3842.7万|首周1.49亿,,63,75,7.4,5935,7.99亿USD
263,变形金刚,Transformers,http://movie.mtime.com/32446,2007年07月03日美国,3.19亿USD,首日2785.1万|首周1.02亿,,64,,7.8,118991,
264,钢铁侠,Iron Man,http://movie.mtime.com/24130,2008年05月02日美国,3.18亿USD,首日3523.4万|首周1.23亿,,65,,7.6,21873,
265,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,http://movie.mtime.com/10734,2001年11月16日美国,3.18亿USD,首日3233.3万|首周1.29亿,,66,37,8.2,12026,9.75亿USD
266,夺宝奇兵4,Indiana Jones and the Kingdom of the Crystal Skull,http://movie.mtime.com/26151,2008年05月22日美国,3.17亿USD,首日2504.1万|首周1.46亿,,67,81,7.3,6855,7.87亿USD
267,魔戒首部曲：魔戒现身,The Lord of the Rings: The Fellowship of the Ring,http://movie.mtime.com/11404,2001年12月19日美国,3.16亿USD,首日1821.4万|首周8924.9万,,68,60,8.7,23131,8.72亿USD
268,雷神3：诸神黄昏,Thor: Ragnarok,http://movie.mtime.com/209123,2017年11月03日美国,3.15亿USD,首日4681.9万|首周1.55亿,90,69,65,7.8,5293,8.54亿USD
269,钢铁侠2,Iron Man 2,http://movie.mtime.com/83329,2010年05月07日美国,3.12亿USD,首日5124.0万|首周1.59亿,,70,,7.5,20697,
270,星球大战前传二：克隆人的进攻,Star Wars: Episode II - Attack of the Clones,http://movie.mtime.com/12306,2002年05月16日美国,3.11亿USD,首日3014.2万|首周1.11亿,,71,,7.7,4554,
271,加勒比海盗：世界的尽头,Pirates of the Caribbean: At World's End,http://movie.mtime.com/38260,2007年05月19日美国,3.09亿USD,首日4291.0万|首周1.60亿,,72,41,8.1,20584,9.63亿USD
272,星球大战3：绝地归来,Star Wars: Episode VI - Return of the Jedi,http://movie.mtime.com/11052,1983年05月25日美国,3.09亿USD,,,73,,8.0,3087,
273,独立日,Independence Day,http://movie.mtime.com/13543,1996年07月03日美国,3.06亿USD,首日1740.6万|首周7919.6万,,74,72,8.0,7873,8.17亿USD
274,加勒比海盗：黑珍珠号的诅咒,Pirates of the Caribbean: The Curse of the Black Pearl,http://movie.mtime.com/10942,2003年06月28日美国,3.05亿USD,,,75,,8.3,25539,
275,007：大破天幕杀机,Skyfall,http://movie.mtime.com/92774,2012年11月09日美国,3.04亿USD,首日3050.4万|首周1.18亿,,76,22,7.7,13518,11.09亿USD
276,霍比特人：意外之旅,The Hobbit: An Unexpected Journey,http://movie.mtime.com/51229,2012年12月14日美国,3.03亿USD,首日3712.6万|首周1.13亿,,77,35,8.2,15186,10.21亿USD
277,哈利·波特与混血王子,Harry Potter and the Half-Blood Prince,http://movie.mtime.com/54310,2009年07月15日美国,3.02亿USD,首日5817.5万|首周1.12亿,,78,48,7.2,27781,9.34亿USD
278,暮光之城3：月食,The Twilight Saga: Eclipse,http://movie.mtime.com/94153,2010年06月30日美国,3.01亿USD,首日6853.4万|首周1.11亿,,79,,6.9,13586,
279,暮光之城2：新月,The Twilight Saga: New Moon,http://movie.mtime.com/91806,2009年11月20日美国,2.97亿USD,首日7270.4万|首周1.88亿,,80,,7.2,18847,
280,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,http://movie.mtime.com/56856,2010年11月19日美国,2.96亿USD,首日6168.5万|首周1.70亿,,81,43,8.0,25030,9.60亿USD
281,灵异第六感,The Sixth Sense,http://movie.mtime.com/14252,1999年08月06日美国,2.94亿USD,,,82,,8.4,11958,
282,飞屋环游记,Up,http://movie.mtime.com/79055,2009年05月29日美国,2.93亿USD,首日2148.2万|首周9307.2万,,83,98,8.6,35853,7.35亿USD
283,盗梦空间,Inception,http://movie.mtime.com/99547,2010年07月16日美国,2.93亿USD,首日2178.2万|首周1.00亿,,84,69,9.1,70198,8.28亿USD
284,暮光之城4：破晓（下）,The Twilight Saga: Breaking Dawn - Part 2,http://movie.mtime.com/134852,2012年11月16日美国,2.92亿USD,首日7116.8万|首周1.84亿,,85,68,6.8,4703,8.30亿USD
285,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,http://movie.mtime.com/49495,2007年07月11日美国,2.92亿USD,首日4423.2万|首周1.13亿,,86,47,7.6,14681,9.40亿USD
286,纳尼亚传奇,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://movie.mtime.com/22034,2005年12月09日美国,2.92亿USD,首日2300.7万|首周8133.2万,,87,95,7.4,12144,7.45亿USD
287,超人：钢铁之躯,Man of Steel,http://movie.mtime.com/51233,2013年06月14日美国,2.91亿USD,首日4401.3万|首周1.57亿,,88,,7.6,19081,
288,星球大战2：帝国反击战,Star Wars: Episode V - The Empire Strikes Back,http://movie.mtime.com/10479,1980年06月20日美国,2.90亿USD,,,89,,8.2,3203,
289,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,http://movie.mtime.com/20287,2005年11月18日美国,2.90亿USD,首日4011.8万|首周1.46亿,,90,51,7.7,13082,8.97亿USD
290,怪兽电力公司,Monsters Inc.,http://movie.mtime.com/10680,2001年11月02日美国,2.90亿USD,首日1780.6万|首周7659.9万,,91,,8.3,8514,
291,小鬼当家,Home Alone,http://movie.mtime.com/13468,1990年11月16日美国,2.86亿USD,,,92,,7.7,5335,
292,饥饿游戏3：嘲笑鸟（下）,The Hunger Games: Mockingjay - Part 2,http://movie.mtime.com/175317,2015年11月20日美国,2.82亿USD,首日4557.9万|首周1.47亿,,93,,6.6,3801,
293,黑客帝国2：重装上阵,The Matrix Reloaded,http://movie.mtime.com/10750,2003年05月15日美国,2.82亿USD,首日3750.8万|首周1.21亿,,94,97,8.1,11880,7.42亿USD
294,暮光之城4：破晓（上）,The Twilight Saga: Breaking Dawn - Part 1,http://movie.mtime.com/94154,2011年11月18日美国,2.81亿USD,首日7164.3万|首周1.79亿,,95,,6.5,9497,
295,拜见岳父大人2,Meet the Fockers,http://movie.mtime.com/18986,2004年12月22日美国,2.79亿USD,,,96,,7.2,2406,
296,宿醉,The Hangover,http://movie.mtime.com/94571,2009年06月05日美国,2.77亿USD,首日1673.4万|首周7197.4万,,97,,7.7,10539,
297,地心引力,Gravity,http://movie.mtime.com/126366,2013年10月04日美国,2.74亿USD,首日1748.5万|首周7913.5万,,98,100,8.3,19128,7.23亿USD
298,绿毛怪格林奇,The Grinch,http://movie.mtime.com/233407,2018年11月09日美国,2.71亿USD,首日1867.0万|首周8837.6万,,99,,6.5,146,
299,欢乐好声音,Sing,http://movie.mtime.com/229728,2016年12月21日美国,2.70亿USD,,,100,,7.7,2613,
