,Genre,BoxOffice
314,冒险,1124.0
315,科幻,1124.0
316,动作,1124.0
317,奇幻,1120.0
318,冒险,1120.0
319,剧情,1120.0
320,冒险,1109.0
321,惊悚,1109.0
322,动作,1109.0
323,冒险,1104.0
324,科幻,1104.0
325,动作,1104.0
326,惊悚,1085.0
327,动作,1085.0
328,冒险,1067.0
329,喜剧,1067.0
330,动画,1067.0
331,奇幻,1066.0
332,冒险,1066.0
333,动作,1066.0
334,冒险,1056.0
335,科幻,1056.0
336,动作,1056.0
337,奇幻,1046.0
338,冒险,1046.0
339,动作,1046.0
340,冒险,1035.0
341,动作,1035.0
342,动画,1035.0
343,冒险,1029.0
344,惊悚,1029.0
345,科幻,1029.0
346,冒险,1029.0
347,喜剧,1029.0
348,动画,1029.0
349,奇幻,1027.0
350,冒险,1027.0
351,动作,1027.0
352,奇幻,1026.0
353,冒险,1026.0
354,家庭,1026.0
355,冒险,1024.0
356,喜剧,1024.0
357,动画,1024.0
358,奇幻,1021.0
359,冒险,1021.0
360,家庭,1021.0
361,犯罪,1005.0
362,动作,1005.0
363,剧情,1005.0
364,奇幻,975.0
365,冒险,975.0
366,家庭,975.0
367,冒险,971.0
368,喜剧,971.0
369,动画,971.0
370,冒险,969.0
371,剧情,969.0
372,动画,969.0
373,冒险,967.0
374,家庭,967.0
375,剧情,967.0
376,奇幻,963.0
377,冒险,963.0
378,动作,963.0
379,冒险,962.0
380,喜剧,962.0
381,动作,962.0
382,奇幻,960.0
383,冒险,960.0
384,家庭,960.0
385,奇幻,958.0
386,冒险,958.0
387,奇幻,956.0
388,冒险,956.0
389,冒险,940.0
390,喜剧,940.0
391,动画,940.0
392,奇幻,940.0
393,冒险,940.0
394,家庭,940.0
395,奇幻,934.0
396,冒险,934.0
397,家庭,934.0
398,奇幻,926.0
399,冒险,926.0
400,剧情,926.0
401,冒险,920.0
402,喜剧,920.0
403,动画,920.0
404,奇幻,897.0
405,冒险,897.0
406,家庭,897.0
407,冒险,891.0
408,科幻,891.0
409,动作,891.0
410,冒险,887.0
411,动作,887.0
412,动画,887.0
413,冒险,881.0
414,惊悚,881.0
415,动作,881.0
416,冒险,880.0
417,科幻,880.0
418,动作,880.0
419,奇幻,879.0
420,冒险,879.0
421,家庭,879.0
422,冒险,877.0
423,喜剧,877.0
424,动画,877.0
425,冒险,876.0
426,喜剧,876.0
427,动画,876.0
428,奇幻,874.0
429,冒险,874.0
430,动作,874.0
431,奇幻,872.0
432,冒险,872.0
433,剧情,872.0
434,战争,870.0
435,动作,870.0
436,悬疑,865.0
437,冒险,865.0
438,动作,865.0
439,冒险,864.0
440,喜剧,864.0
441,动作,864.0
442,冒险,858.0
443,喜剧,858.0
444,动画,858.0
445,冒险,854.0
446,喜剧,854.0
447,动作,854.0
448,奇幻,849.0
449,冒险,849.0
450,动作,849.0
451,冒险,836.0
452,科幻,836.0
453,动作,836.0
454,奇幻,830.0
455,冒险,830.0
456,剧情,830.0
457,冒险,828.0
458,科幻,828.0
459,动作,828.0
460,奇幻,822.0
461,冒险,822.0
462,动作,822.0
463,冒险,822.0
464,科幻,822.0
465,动作,822.0
466,冒险,817.0
467,科幻,817.0
468,动作,817.0
469,奇幻,814.0
470,冒险,814.0
471,家庭,814.0
472,冒险,807.0
