,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,Actor
46,变形金刚3,Transformers: Dark of the Moon,http://movie.mtime.com/105799,2011-06-29,352.0,希亚·拉博夫 Shia LaBeouf
47,美国狙击手,American Sniper,http://movie.mtime.com/205037,2015-01-16,350.0,布莱德利·库珀 Bradley Cooper
48,魔戒二部曲：双塔奇兵,The Lord of the Rings: The Two Towers,http://movie.mtime.com/11403,2002-12-18,343.0,伊利亚·伍德 Elijah Wood
49,疯狂动物城,Zootopia,http://movie.mtime.com/205222,2016-03-04,341.0,金妮弗·古德温 Ginnifer Goodwin
50,饥饿游戏3：嘲笑鸟（上）,The Hunger Games: Mockingjay - Part 1,http://movie.mtime.com/174764,2014-11-21,337.0,詹妮弗·劳伦斯 Jennifer Lawrence
51,蜘蛛侠3,Spider-Man 3,http://movie.mtime.com/22321,2007-05-04,337.0,托比·马奎尔 Tobey Maguire
52,小黄人大眼萌,Minions,http://movie.mtime.com/193881,2015-07-10,336.0,皮埃尔·柯芬 Pierre Coffin
53,蜘蛛侠：英雄归来,Spider-Man: Homecoming,http://movie.mtime.com/208175,2017-07-07,334.0,汤姆·赫兰德 Tom Holland
54,爱丽丝梦游仙境,Alice in Wonderland,http://movie.mtime.com/83327,2010-03-05,334.0,米娅·华希科沃斯卡 Mia Wasikowska
55,海王,Aquaman,http://movie.mtime.com/132277,2018-12-21,334.0,杰森·莫玛 Jason Momoa
56,银河护卫队,Guardians of the Galaxy,http://movie.mtime.com/175195,2014-08-01,333.0,克里斯·帕拉特 Chris Pratt
57,蝙蝠侠大战超人：正义黎明,Batman v Superman: Dawn of Justice,http://movie.mtime.com/203183,2016-03-25,330.0,本·阿弗莱克 Ben Affleck
58,阿甘正传,Forrest Gump,http://movie.mtime.com/10054,1994-06-23,330.0,汤姆·汉克斯 Tom Hanks
59,小丑回魂,It,http://movie.mtime.com/103523,2017-09-08,327.0,比尔·斯卡斯加德 Bill Skarsgård
60,自杀小队,Suicide Squad,http://movie.mtime.com/217684,2016-08-05,325.0,玛歌特·罗比 Margot Robbie
61,死侍2：我爱我家,Deadpool 2,http://movie.mtime.com/231981,2018-05-18,325.0,瑞安·雷诺兹 Ryan Reynolds
62,怪物史瑞克3,Shrek the Third,http://movie.mtime.com/38984,2007-05-18,323.0,麦克·梅尔斯 Mike Myers
63,变形金刚,Transformers,http://movie.mtime.com/32446,2007-07-03,319.0,希亚·拉博夫 Shia LaBeouf
64,钢铁侠,Iron Man,http://movie.mtime.com/24130,2008-05-02,318.0,小罗伯特·唐尼 Robert Downey Jr.
65,哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,http://movie.mtime.com/10734,2001-11-16,318.0,丹尼尔·雷德克里夫 Daniel Radcliffe
66,夺宝奇兵4,Indiana Jones and the Kingdom of the Crystal Skull,http://movie.mtime.com/26151,2008-05-22,317.0,哈里森·福特 Harrison Ford
67,魔戒首部曲：魔戒现身,The Lord of the Rings: The Fellowship of the Ring,http://movie.mtime.com/11404,2001-12-19,316.0,伊利亚·伍德 Elijah Wood
68,雷神3：诸神黄昏,Thor: Ragnarok,http://movie.mtime.com/209123,2017-11-03,315.0,克里斯·海姆斯沃斯 Chris Hemsworth
69,钢铁侠2,Iron Man 2,http://movie.mtime.com/83329,2010-05-07,312.0,小罗伯特·唐尼 Robert Downey Jr.
70,星球大战前传二：克隆人的进攻,Star Wars: Episode II - Attack of the Clones,http://movie.mtime.com/12306,2002-05-16,311.0,伊万·麦克格雷格 Ewan McGregor
71,加勒比海盗：世界的尽头,Pirates of the Caribbean: At World's End,http://movie.mtime.com/38260,2007-05-19,309.0,约翰尼·德普 Johnny Depp
72,星球大战3：绝地归来,Star Wars: Episode VI - Return of the Jedi,http://movie.mtime.com/11052,1983-05-25,309.0,马克·哈米尔 Mark Hamill
73,独立日,Independence Day,http://movie.mtime.com/13543,1996-07-03,306.0,威尔·史密斯 Will Smith
74,加勒比海盗：黑珍珠号的诅咒,Pirates of the Caribbean: The Curse of the Black Pearl,http://movie.mtime.com/10942,2003-06-28,305.0,约翰尼·德普 Johnny Depp
75,007：大破天幕杀机,Skyfall,http://movie.mtime.com/92774,2012-11-09,304.0,丹尼尔·克雷格 Daniel Craig
76,霍比特人：意外之旅,The Hobbit: An Unexpected Journey,http://movie.mtime.com/51229,2012-12-14,303.0,伊恩·麦克莱恩 Ian McKellen
77,哈利·波特与混血王子,Harry Potter and the Half-Blood Prince,http://movie.mtime.com/54310,2009-07-15,302.0,丹尼尔·雷德克里夫 Daniel Radcliffe
78,暮光之城3：月食,The Twilight Saga: Eclipse,http://movie.mtime.com/94153,2010-06-30,301.0,克里斯汀·斯图尔特 Kristen Stewart
79,暮光之城2：新月,The Twilight Saga: New Moon,http://movie.mtime.com/91806,2009-11-20,297.0,克里斯汀·斯图尔特 Kristen Stewart
80,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,http://movie.mtime.com/56856,2010-11-19,296.0,丹尼尔·雷德克里夫 Daniel Radcliffe
81,灵异第六感,The Sixth Sense,http://movie.mtime.com/14252,1999-08-06,294.0,布鲁斯·威利斯 Bruce Willis
82,飞屋环游记,Up,http://movie.mtime.com/79055,2009-05-29,293.0,爱德华·阿斯纳 Edward Asner
83,盗梦空间,Inception,http://movie.mtime.com/99547,2010-07-16,293.0,莱昂纳多·迪卡普里奥 Leonardo DiCaprio
84,暮光之城4：破晓（下）,The Twilight Saga: Breaking Dawn - Part 2,http://movie.mtime.com/134852,2012-11-16,292.0,克里斯汀·斯图尔特 Kristen Stewart
85,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,http://movie.mtime.com/49495,2007-07-11,292.0,丹尼尔·雷德克里夫 Daniel Radcliffe
86,纳尼亚传奇,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://movie.mtime.com/22034,2005-12-09,292.0,蒂尔达·斯文顿 Tilda Swinton
87,超人：钢铁之躯,Man of Steel,http://movie.mtime.com/51233,2013-06-14,291.0,亨利·卡维尔 Henry Cavill
88,星球大战2：帝国反击战,Star Wars: Episode V - The Empire Strikes Back,http://movie.mtime.com/10479,1980-06-20,290.0,马克·哈米尔 Mark Hamill
89,哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,http://movie.mtime.com/20287,2005-11-18,290.0,丹尼尔·雷德克里夫 Daniel Radcliffe
90,怪兽电力公司,Monsters Inc.,http://movie.mtime.com/10680,2001-11-02,290.0,约翰·古德曼 John Goodman
91,小鬼当家,Home Alone,http://movie.mtime.com/13468,1990-11-16,286.0,麦考利·卡尔金 Macaulay Culkin
92,饥饿游戏3：嘲笑鸟（下）,The Hunger Games: Mockingjay - Part 2,http://movie.mtime.com/175317,2015-11-20,282.0,詹妮弗·劳伦斯 Jennifer Lawrence
93,黑客帝国2：重装上阵,The Matrix Reloaded,http://movie.mtime.com/10750,2003-05-15,282.0,基努·里维斯 Keanu Reeves
94,暮光之城4：破晓（上）,The Twilight Saga: Breaking Dawn - Part 1,http://movie.mtime.com/94154,2011-11-18,281.0,克里斯汀·斯图尔特 Kristen Stewart
95,拜见岳父大人2,Meet the Fockers,http://movie.mtime.com/18986,2004-12-22,279.0,本·斯蒂勒 Ben Stiller
96,宿醉,The Hangover,http://movie.mtime.com/94571,2009-06-05,277.0,布莱德利·库珀 Bradley Cooper
97,地心引力,Gravity,http://movie.mtime.com/126366,2013-10-04,274.0,桑德拉·布洛克 Sandra Bullock
98,绿毛怪格林奇,The Grinch,http://movie.mtime.com/233407,2018-11-09,271.0,本尼迪克特·康伯巴奇 Benedict Cumberbatch
99,欢乐好声音,Sing,http://movie.mtime.com/229728,2016-12-21,270.0,马修·麦康纳 Matthew McConaughey
100,星球大战：原力觉醒,Star Wars: The Force Awakens,http://movie.mtime.com/192895,2015-12-18,937.0,约翰·波耶加 John Boyega
101,阿凡达,Avatar,http://movie.mtime.com/45997,2009-12-18,761.0,佐伊·索尔达娜 Zoe Saldana
102,黑豹,Black Panther,http://movie.mtime.com/218085,2018-02-16,700.0,露皮塔·尼永奥 Lupita Nyong'o
103,复仇者联盟3：无限战争,Avengers: Infinity War,http://movie.mtime.com/217497,2018-04-27,679.0,克里斯·埃文斯 Chris Evans
104,泰坦尼克号,Titanic,http://movie.mtime.com/11925,1997-12-19,659.0,凯特·温丝莱特 Kate Winslet
105,侏罗纪世界,Jurassic World,http://movie.mtime.com/191813,2015-06-12,652.0,布莱丝·达拉斯·霍.. Bryce Dallas Howard
106,复仇者联盟,The Avengers,http://movie.mtime.com/83336,2012-05-04,623.0,克里斯·埃文斯 Chris Evans
107,星球大战：最后的绝地武士,Star Wars: The Last Jedi,http://movie.mtime.com/211981,2017-12-15,620.0,约翰·波耶加 John Boyega
108,超人总动员2,The Incredibles 2,http://movie.mtime.com/223686,2018-06-15,609.0,霍利·亨特 Holly Hunter
109,蝙蝠侠：黑暗骑士,The Dark Knight,http://movie.mtime.com/51378,2008-07-18,535.0,希斯·莱杰 Heath Ledger
110,星球大战外传：侠盗一号,Rogue One: A Star Wars Story,http://movie.mtime.com/214815,2016-12-16,532.0,迭戈·鲁纳 Diego Luna
111,美女与野兽,Beauty and the Beast,http://movie.mtime.com/195064,2017-03-17,504.0,丹·史蒂文斯 Dan Stevens
112,海底总动员2：多莉去哪儿,Finding Dory,http://movie.mtime.com/196387,2016-06-17,486.0,张国立 Guoli Zhang
113,星球大战前传一：幽灵的威胁,Star Wars: Episode I - The Phantom Menace,http://movie.mtime.com/12307,1999-05-19,475.0,娜塔莉·波特曼 Natalie Portman
114,星球大战,Star Wars,http://movie.mtime.com/12303,1977-05-25,461.0,凯丽·费雪 Carrie Fisher
115,复仇者联盟2：奥创纪元,Avengers: Age of Ultron,http://movie.mtime.com/173060,2015-05-01,459.0,克里斯·埃文斯 Chris Evans
116,蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,http://movie.mtime.com/125424,2012-07-20,448.0,汤姆·哈迪 Tom Hardy
117,怪物史瑞克2,Shrek 2,http://movie.mtime.com/10681,2004-05-19,441.0,卡梅隆·迪亚茨 Cameron Diaz
118,外星人E.T.,E.T. the Extra-Terrestrial,http://movie.mtime.com/12047,1982-06-11,435.0,德鲁·巴里摩尔 Drew Barrymore
119,饥饿游戏2：星火燎原,The Hunger Games: Catching Fire,http://movie.mtime.com/152776,2013-11-22,425.0,乔什·哈切森 Josh Hutcherson
120,加勒比海盗：聚魂棺,Pirates of the Caribbean: Dead Man's Chest,http://movie.mtime.com/17054,2006-07-07,423.0,奥兰多·布鲁姆 Orlando Bloom
121,狮子王,The Lion King,http://movie.mtime.com/11809,1994-06-24,423.0,詹姆斯·厄尔·琼斯 James Earl Jones
122,侏罗纪世界2,Jurassic World: Fallen Kingdom,http://movie.mtime.com/225759,2018-06-22,418.0,布莱丝·达拉斯·霍.. Bryce Dallas Howard
123,玩具总动员3,Toy Story 3,http://movie.mtime.com/46125,2010-06-18,415.0,蒂姆·艾伦 Tim Allen
124,神奇女侠,Wonder Woman,http://movie.mtime.com/40205,2017-06-02,413.0,克里斯·派恩 Chris Pine
125,钢铁侠3,Iron Man 3,http://movie.mtime.com/91881,2013-05-03,409.0,格温妮丝·帕特洛 Gwyneth Paltrow
126,美国队长3,Captain America: Civil War,http://movie.mtime.com/209122,2016-05-06,408.0,小罗伯特·唐尼 Robert Downey Jr.
127,饥饿游戏,The Hunger Games,http://movie.mtime.com/120943,2012-03-23,408.0,乔什·哈切森 Josh Hutcherson
128,勇敢者游戏：决战丛林,Jumanji: Welcome to the Jungle,http://movie.mtime.com/227232,2017-12-20,405.0,凯文·哈特 Kevin Hart
129,蜘蛛侠,Spider-Man,http://movie.mtime.com/12633,2002-05-03,404.0,克尔斯滕·邓斯特 Kirsten Dunst
130,侏罗纪公园,Jurassic Park,http://movie.mtime.com/13057,1993-06-11,403.0,劳拉·邓恩 Laura Dern
