,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,Actor
52,生化危机：终章,Resident Evil: The Final Chapter,http://movie.mtime.com/194595,2017-02-24,166.8,米拉·乔沃维奇 Milla Jovovich
53,变形金刚3,Transformers: Dark of the Moon,http://movie.mtime.com/105799,2011-07-21,162.45,希亚·拉博夫 Shia LaBeouf
54,巨齿鲨,The Meg,http://movie.mtime.com/225827,2018-08-10,157.65,杰森·斯坦森 Jason Statham
55,西游记之大闹天宫,The Monkey King,http://movie.mtime.com/126817,2014-01-31,157.5,甄子丹 Donnie Yen
56,乘风破浪,Duckweed,http://movie.mtime.com/237054,2017-01-28,157.35,邓超 Chao Deng
57,神偷奶爸3,Despicable Me 3,http://movie.mtime.com/208828,2017-07-07,155.7,史蒂夫·卡瑞尔 Steve Carell
58,盗墓笔记,Time Raiders,http://movie.mtime.com/203656,2016-08-05,150.75,井柏然 Boran Jing
59,狂暴巨兽,Rampage,http://movie.mtime.com/225925,2018-04-13,150.6,道恩·强森 Dwayne Johnson
60,功夫熊猫3,Kung Fu Panda 3,http://movie.mtime.com/177861,2016-01-29,150.3,黄磊 Lei Huang
61,奇幻森林,The Jungle Book,http://movie.mtime.com/207872,2016-04-15,146.85,尼尔·塞西 Neel Sethi
62,澳门风云2,The Man From Macao II,http://movie.mtime.com/212471,2015-02-19,146.25,周润发 Yun-Fat Chow
63,西游记之大圣归来,Monkey King: Hero is Back,http://movie.mtime.com/209164,2015-07-10,143.4,张磊 Lei Zhang
64,泰坦尼克号,Titanic,http://movie.mtime.com/11925,1998-04-03,142.2,莱昂纳多·迪卡普里奥 Leonardo DiCaprio
65,惊奇队长,Captain Marvel,http://movie.mtime.com/218087,2019-03-08,135.45,布丽·拉尔森 Brie Larson
66,老炮儿,Mr. Six,http://movie.mtime.com/217699,2015-12-24,135.45,冯小刚 Xiaogang Feng
67,超时空同居,How Long Will I Love U,http://movie.mtime.com/250729,2018-05-18,135.0,雷佳音 Jiayin Lei
68,智取威虎山,The Taking Of Tiger Mountain,http://movie.mtime.com/152510,2014-12-23,134.1,张涵予 Hanyu Zhang
69,绝地逃亡,Skiptrace,http://movie.mtime.com/199602,2016-07-21,133.35,成龙 Jackie Chan
70,阿丽塔：战斗天使,Alita: Battle Angel,http://movie.mtime.com/25412,2019-02-22,132.75,罗莎·萨拉扎尔 Rosa Salazar
71,十二生肖,CZ12,http://movie.mtime.com/105646,2012-12-20,132.0,成龙 Jackie Chan
72,碟中谍5：神秘国度,Mission: Impossible - Rogue Nation,http://movie.mtime.com/165359,2015-09-08,130.5,汤姆·克鲁斯 Tom Cruise
73,蚁人2：黄蜂女现身,Ant-Man and the Wasp,http://movie.mtime.com/228903,2018-08-24,124.65,保罗·路德 Paul Rudd
74,星球大战：原力觉醒,Star Wars: The Force Awakens,http://movie.mtime.com/192895,2016-01-09,123.9,黛茜·雷德利 Daisy Ridley
75,唐人街探案,Detective Chinatown,http://movie.mtime.com/220627,2015-12-31,123.6,王宝强 Baoqiang Wang
